trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.2032166223379,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.80104525170128,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.82097837280092,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.0397971977974,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.67251467074612,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,8,-80.55494747859555,"{0: 5, 1: 2, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.19119770870826,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.8838512769747,"{0: 12, 1: 4, 2: 6, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,7,-74.42222742315337,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.81886760138532,"{0: 15, 1: 3, 2: 11, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.95818055681673,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-232.63691597405963,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.16328577464827,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.64600923976634,"{0: 9, 1: 6, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.44882839584305,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.9274440986082,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.532229836980745,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.90999551513899,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-207.78204632121697,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
